net.sourceforge.htmlunit:htmlunit	net.sourceforge.htmlunit_htmlunit
org.spockframework:spock-core	org.spockframework_spock-core
org.spockframework:spock-spring	org.spockframework_spock-spring
org.springframework.boot:spring-boot-http-client	org.springframework.boot_spring-boot-http-client
org.springframework.boot:spring-boot-netty	org.springframework.boot_spring-boot-netty
io.swagger.core.v3:swagger-core-jakarta	io.swagger.core.v3_swagger-core-jakarta
io.swagger.core.v3:swagger-models-jakarta	io.swagger.core.v3_swagger-models-jakarta
com.googlecode.json-simple:json-simple	com.googlecode.json-simple_json-simple
commons-beanutils:commons-beanutils	commons-beanutils_commons-beanutils
commons-validator:commons-validator	commons-validator_commons-validator
org.apache.kafka:kafka-group-coordinator	org.apache.kafka_kafka-group-coordinator
org.apache.kafka:kafka-metadata	org.apache.kafka_kafka-metadata
org.apache.kafka:kafka-raft	org.apache.kafka_kafka-raft
org.apache.kafka:kafka-server	org.apache.kafka_kafka-server
org.apache.kafka:kafka-server-common	org.apache.kafka_kafka-server-common
org.apache.kafka:kafka-storage	org.apache.kafka_kafka-storage
org.apache.kafka:kafka-storage-api	org.apache.kafka_kafka-storage-api
org.apache.kafka:kafka-streams	org.apache.kafka_kafka-streams
org.apache.kafka:kafka-streams-test-utils	org.apache.kafka_kafka-streams-test-utils
org.apache.kafka:kafka-transaction-coordinator	org.apache.kafka_kafka-transaction-coordinator
org.apache.kafka:kafka_2.13	org.apache.kafka_kafka_2.13
org.apache.kafka:kafka-group-coordinator-api	org.apache.kafka_kafka-group-coordinator-api
org.apache.kafka:kafka-tools-api	org.apache.kafka_kafka-tools-api
com.github.docker-java:docker-java-api	com.github.docker-java_docker-java-api
io.mongock:mongock-runner-core	io.mongock_mongock-runner-core
io.mongock:mongock-springboot-junit5	io.mongock_mongock-springboot-junit5
io.mongock:mongock-springboot-test	io.mongock_mongock-springboot-test
io.mongock:mongock-springboot-v3	io.mongock_mongock-springboot-v3
io.mongock:mongock-test-core	io.mongock_mongock-test-core
io.mongock:mongodb-springdata-v4-driver	io.mongock_mongodb-springdata-v4-driver
org.apache.maven:maven-artifact	org.apache.maven_maven-artifact
org.testcontainers:junit-jupiter	org.testcontainers_junit-jupiter
org.testcontainers:mongodb	org.testcontainers_mongodb
org.testcontainers:testcontainers	org.testcontainers_testcontainers
com.auth0:java-jwt	com.auth0_java-jwt
com.structurizr:structurizr-core	com.structurizr_structurizr-core
com.structurizr:structurizr-export	com.structurizr_structurizr-export
io.jsonwebtoken:jjwt	io.jsonwebtoken_jjwt
io.jsonwebtoken:jjwt-jackson	io.jsonwebtoken_jjwt-jackson
org.testcontainers:kafka	org.testcontainers_kafka
org.zalando:logbook-core	org.zalando_logbook-core
org.zalando:logbook-json	org.zalando_logbook-json
org.zalando:logbook-spring	org.zalando_logbook-spring
org.zalando:logbook-spring-boot-autoconfigure	org.zalando_logbook-spring-boot-autoconfigure
org.zalando:logbook-spring-boot-starter	org.zalando_logbook-spring-boot-starter
